created_at,referenced_type,referenced_id,source,id,reply_settings,lang,author_id,text,geo_id,retweet_count,reply_count,like_count,quote_count,conversation_id,api_date,username,description,user_verified,user_created_at,user_name,user_followers_count,user_following_count,user_tweet_count,user_listed_count,place_type,country,full_name,country_code,name,result_count,next_token
2022-08-12T23:13:31.000Z,,,Twitter for iPhone,1558230228224417792,everyone,pt,1199519105528844288,queria sextar com a meninas lá no centro de novo,,0,0,0,0,1558230228224417792,2022-08-23 00:00:12.310970,frevooi,JM,False,2019-11-27T02:43:47.000Z,ؘluana,3,142,130,0,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,retweeted,1.5581202617061868e+18,Twitter for Android,1558230228207542272,everyone,en,1398825224121077764,RT @KarakasaWarden: dan schneider waking up the victorious cast who were black out drunk to hand them the teleplay for an episode where the…,,1,0,0,0,1558230228207542272,2022-08-23 00:00:12.310970,redsofahead,"doin/yer mom (she/they)
I draw sometimes, its mostly obscure shit 

bi-asexual I think? labels are hard",False,2021-05-30T02:15:08.000Z,RedSofaHead,45,1090,4875,0,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,replied_to,1.5582272386839183e+18,Twitter for Android,1558230228178182145,everyone,en,183867109,Clare skin up the whole apple cart 😭,,0,1,0,0,1558227238683918338,2022-08-23 00:00:12.310970,LilMissApplePie,a sarcastic ray of sunshine. 🇧🇧♍️ #KDot,False,2010-08-28T02:36:23.000Z,shaan.,1132,772,120437,4,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,quoted,1.5581568416241418e+18,Twitter Web App,1558230228123598849,everyone,en,31006088,"It's all right, Rudy. Keep your fists up. What else can you do? But you can't fight your way out of this one. https://t.co/5eMUfFcHHA",,1,0,3,0,1558230228123598849,2022-08-23 00:00:12.311470,writewiz,"Fulbright Scholar to Russia, former Professor of English, Ph.D., animal lover. Writes novels about a dystopian America resulting from Trumpism. No DMs.",False,2009-04-14T00:33:41.000Z,Elaine McCullough,2010,3660,28431,2,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,,,mamaluigi_txt,1558230228106878978,everyone,en,727704258246676481,(Disolve to outside Mama Fireplant's island dome. Kootie Pie and the Koopa Troopa are coming up through a drain),,0,0,0,0,1558230228106878978,2022-08-23 00:00:12.311470,mamaluigi_txt,Tweets random quotes (by ear) and actions (by how it looked) from the Super Mario World show once an hour | DMs are open for requests,False,2016-05-04T03:39:50.000Z,Mama Luigi,2497,6,52807,10,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,retweeted,1.5581491232237404e+18,Twitter for iPhone,1558230228094287872,everyone,en,596097345,RT @spicebae_: falling in love w the wrong mf or someone who asks a certain way at first then changes up on you once you're in will fuck yo…,,1268,0,0,0,1558230228094287872,2022-08-23 00:00:12.311470,xoxo_ariee,🏳️‍🌈.. R.i.p Daddy I love you❤️🕊,False,2012-06-01T01:51:07.000Z,A💖,1054,500,84403,3,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,replied_to,1.558228991793832e+18,Twitter for iPad,1558230227905613828,everyone,en,832375857054375936,"@michaelharriot Man, they can’t make up their minds which brand of beer to stick to. Don’t rely on Americans, their as fickle as hummingbirds.",,0,0,1,0,1558228991793831937,2022-08-23 00:00:12.311470,wethinkheleaks,"Ohio USA, pro labor, pro business social consciousness, pro water safety and conservation. I believe changing the voting rules and districts is cheating.",False,2017-02-16T23:47:23.000Z,Born a Free man in the USA,45,205,4962,0,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,retweeted,1.5582100021959926e+18,Twitter Web App,1558230227884445697,everyone,ja,2340083024,"RT @JMAXMLAlerts: 【令和４年　台風第８号に関する茨城県気象情報】
8月13日06時20分
台風第８号は、１３日夜のはじめ頃から夜遅くにかけて、茨城県にかなり接近し通過するおそれがあります。茨城県では、１３日夕方から１４日明け方にかけて、大…
https://t…",,8,0,0,0,1558230227884445697,2022-08-23 00:00:12.311470,NoboruYanagi,,False,2014-02-12T10:00:50.000Z,コアラ🌥️東京昭島,596,1903,353056,26,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,retweeted,1.5582284276097188e+18,Twitter Web App,1558230227876302850,everyone,en,4554120017,"RT @Mrs_V_6047: HELP 💔 HEARTBREAKING😥 JUST LOOK AT THIS GORGEOUS BOY, SO FULL OF LIFE 🙏PLEASE DON'T LET HIM DIE 💔SOMEONE PLEASE STEP UP FOR…",,27,0,0,0,1558230227876302850,2022-08-23 00:00:12.311470,SineQuaNon2015,,False,2015-12-21T06:18:33.000Z,Sine_Qua_Non,2657,2963,230519,63,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,,,Twitter,1558230227842527233,everyone,en,1346507248659529745,"👉 $15.99 👈
FANMATS 22603 Pittsburgh Steelers Hitch Cover  3D Color Emblem @topfanscorner 
#FANMATS  #PittsburghSteelers #Hitch #Cover  #D #Color #NFL #Football #NFLfans 

Hurry up to get it for the best price!
https://t.co/A8Lsj3J4ti",,0,0,0,0,1558230227842527233,2022-08-23 00:00:12.311470,topfanscorner,"All #NFL, #NBA, #MLB, #NHL fans are here. Join us and follow us on FB https://t.co/kV11WKZNPF !",False,2021-01-05T17:22:13.000Z,topfanscorner,6480,6417,597047,9,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,retweeted,1.5582283465422152e+18,Twitter for Android,1558230227830165505,everyone,pt,2946760821,"RT @Botafogo: Bora jogar?! 🎮🔥

Aperta o START aí junto com o BOSS @JohnTextor para descobrir quem é o novo atacante do BOTAFOGO! ▶️⚽️ #BOTA…",,1744,0,0,0,1558230227830165505,2022-08-23 00:00:12.311470,BfrLouco,"@Botafogo
@Realmadrid
@losgrandesgg

com os deuses a meu favor",False,2014-12-29T00:07:15.000Z,Bart,268,271,25214,0,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,retweeted,1.5582239717530706e+18,Twitter for iPhone,1558230227829936128,everyone,en,1513198400459603970,"RT @LoveGlowberry: NECESITAMOS SUBIR LAS MENCIONES O PODEMOS PERDER EL # 1 EN EL HOT TRENDING SONG.

DEN RT SI VEN ESTO EN SU TL Y SUMEMOS…",,841,0,0,0,1558230227829936128,2022-08-23 00:00:12.311968,niyosequedigo1,Déjate fluir como el agua...~,False,2022-04-10T16:53:39.000Z,ale,51,246,4055,0,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,retweeted,1.553432092532527e+18,Twitter for iPhone,1558230227779739649,everyone,en,1494379489241010184,RT @daniibaddazz: Nigga woke me up out my sleep just for me to put his dick in my mouth 😂yk I couldn’t resist https://t.co/8MHGNBwwyC,,67,0,0,0,1558230227779739649,2022-08-23 00:00:12.311968,Fffyu52638384,,False,2022-02-17T18:33:52.000Z,Fffyu,15,132,225,0,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,retweeted,1.558149631824892e+18,Twitter for iPhone,1558230227733594114,everyone,en,1443553471245004801,RT @_NaRissaj: Sometimes I be thinking how easy it would be to run a bag up doing onlyfans or being a stripper BUT i have to much respect f…,,2,0,0,0,1558230227733594114,2022-08-23 00:00:12.311968,misfa1ths,🇳🇬 // TikTok: misfa1ths,False,2021-09-30T12:29:12.000Z,D!na💋,797,524,3154,0,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,retweeted,1.558159064328192e+18,Twitter Web App,1558230227611815936,everyone,en,1521751559234674690,RT @RoughUncles: I wanted to remember the way my son rode my cock so I put up a secret camera to record our fun 😈 https://t.co/z4inMKKUoj,,1044,0,0,0,1558230227611815936,2022-08-23 00:00:12.311968,Anthony25032547,"Looking for a good time, all the time..
6'0"" 140lbs bottom boy here on the island!!",False,2022-05-04T07:20:43.000Z,Liltony,171,1352,1492,0,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,retweeted,1.5578387574656942e+18,Twitter for iPhone,1558230227486138370,everyone,en,780136564370309122,RT @GoatYogurtt: DRUMMER MARCY REAL‼️‼️‼️ (also I wish I could have made the drums a bit more accurate and the worms just fill up space 💥)…,,167,0,0,0,1558230227486138370,2022-08-23 00:00:12.311968,girllover45,"17, nd, white, lesbian ♡ॢ₍⸍⸌̣ʷ̣̫⸍̣⸌₎ transmasc",False,2016-09-25T20:07:06.000Z,🦕 max!,1057,3544,58133,8,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,retweeted,1.5581516621869302e+18,Twitter for iPhone,1558230227431587840,everyone,en,309106340,"RT @GeorgeTakei: So let me see if I have this straight. The documents were all turned over to the FBI, besides none of them was classified,…",,3073,0,0,0,1558230227431587840,2022-08-23 00:00:12.311968,LRick1960,"mom,behavioral health administrative assistant extraordinaire, great cook,slightly humorous, northeast resister.Proud daughter of WWII Navy Vet🇺🇸",False,2011-06-01T14:56:29.000Z,Lynn,13828,14447,203061,79,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
2022-08-12T23:13:31.000Z,replied_to,1.5582281842853233e+18,Twitter Web App,1558230227381374978,everyone,en,774188112,@chflutter @math_sonnets Rudy's got his own problems. He said or health reasons he could not travel to Georgia but he's up in either NH or Vermont.,,0,0,3,0,1558226578802458624,2022-08-23 00:00:12.311968,JenniferNYC,"Victims/Animal Advocate. NYU Law grad OSU poli-si. Lover of Yankees, Music &Animals. Non-profit boards. 3 strikes and your out. Blue is my color OMO",False,2012-08-22T18:03:16.000Z,Jennifer 💕,4885,4771,56066,16,none,none,none,none,none,491,b26v89c19zqg8o3fpz5nhfkgednran28lugsfi5lt0ynx
